entity_type,entity_id,diversity,dsi,surprise,z_diversity,z_dsi,z_surprise,n_tasks,composite,valid_rate
human,human_001,0.45709069252014156,0.43062944293022154,3.8139843749999995,-0.022840219680080875,-0.011305442546051014,-0.6050475226128169,5,-0.21306439494631627,1.0
human,human_002,0.46764794945716853,0.4428015124797821,4.690234375,0.46148220860225886,-0.00020599337407130048,0.25904526636413755,5,0.24010716053077505,0.96
human,human_005,0.44737928271293637,0.44139382362365726,4.11703125,-0.20676500223587319,0.0846865464592747,-0.34474031973304625,5,-0.1556062585032149,1.0
human,human_006,0.45723071515560154,0.43954924643039706,5.451445312500001,0.06592752225747003,-0.2937195522493695,1.0179108800814753,5,0.2633729500298586,1.0
human,human_007,0.4396830368041992,0.40840918779373164,5.248125,-0.5984359812662017,-0.7470664512209801,0.644574806912343,5,-0.2336425418582796,1.0
human,human_008,0.4939744341373443,0.4721263116598129,4.6157031250000005,1.174070273548965,0.748681856643368,0.29044153020103547,5,0.7377312201311228,0.96
human,human_009,0.46288429260253905,0.4167383766174316,3.9647265625,0.18003369594519988,-0.4375285532724411,-0.5465088258970834,5,-0.26800122774144153,1.0
human,human_010,0.47105538368225097,0.40596761405467985,5.123125,0.44624368226113154,-0.8313033853940468,0.7795262303228305,5,0.1314888423966384,1.0
human,human_012,0.45144840717315676,0.40537220358848575,3.8788281249999996,-0.15260422110658628,-0.6643927107779474,-0.5450130221768182,5,-0.4540033180204506,1.0
human,human_015,0.4468185126781464,0.4454070818424225,4.267890625,-0.27271805972124896,0.18031386903405947,0.07382373293411759,5,-0.006193485917690635,1.0
human,human_016,0.46574500799179075,0.4158387291431427,5.401328125000001,0.32098511263343543,-0.37781108709314604,1.0054847443779669,5,0.31621958997275207,1.0
human,human_017,0.46858592987060543,0.4444439888000488,5.045390625,0.4094769891960096,0.01753873874464369,0.6262834115677327,5,0.351099713169462,1.0
human,human_019,0.44162631988525386,0.42833024024963373,4.32921875,-0.49177498389300134,-0.26378974580072967,-0.17435274145091026,5,-0.3099724903815471,0.96
human,human_021,0.4737659335136414,0.44277488052845,4.29125,0.5309576308391645,0.2614548122388666,-0.10570121976849745,5,0.22890374110317788,1.0
human,human_022,0.4196951591968537,0.43759948730468745,4.1567968749999995,-1.1586569132737707,0.026133490321964114,-0.1599867337890282,5,-0.4308367189136116,1.0
human,human_023,0.47305037498474123,0.4227765989303589,4.952734375,0.6095365868420783,-0.5465654967766852,0.5473135481645875,5,0.2034282127433269,0.96
human,human_024,0.4811645007133484,0.43761191964149476,4.024609375,0.9268389528665677,0.16491028728131302,-0.2902900774758463,5,0.2671530542240115,1.0
human,human_025,0.47265262603759767,0.42089224576950074,5.48234375,0.5427840717999823,-0.2652195770188278,1.2080469529503346,5,0.4952038159104964,1.0
human,human_027,0.46379226446151733,0.3893078792095184,4.530234375,0.23843001909045808,-0.8427782705190705,0.15044272474042708,5,-0.15130184222939513,1.0
human,human_028,0.4481201414267222,0.46039189934730534,4.227239583333334,-0.1853859459659559,0.39241497578020673,-0.13072789285733669,5,0.025433712318971385,1.0
human,human_029,0.4572519683837891,0.3717842495441437,4.28140625,0.060129656770070115,-1.5520649513209748,-0.10606356320770934,5,-0.532666285919538,0.88
human,human_031,0.4530612421035767,0.44218109965324404,4.3091406249999995,-0.016826461181571252,0.09359596743975056,-0.14532115005185578,5,-0.022850547931225495,0.96
human,human_032,0.46098813354969026,0.42831209957599636,4.588515625,0.16122330022155537,-0.1511802081600577,0.013833455205232836,5,0.00795884908891017,1.0
human,human_033,0.45290775656700133,0.4156737124919891,5.075234375,-0.13230873500075271,-0.4831250529832909,0.526663140317214,5,-0.02959021588894321,1.0
human,human_037,0.4626389676332474,0.4362115979194641,4.8567578125,0.234718043777871,-0.18972580342765713,0.5486504075206378,5,0.19788088262361722,1.0
human,human_038,0.45439439415931704,0.43302775025367735,4.53671875,-0.04348451597830634,-0.011776514755768797,0.12072656596821799,5,0.021821845078047616,1.0
human,human_039,0.4510814964771271,0.4647276890277863,3.65546875,-0.11222092582638887,0.4937649058481271,-0.8685693445523979,5,-0.16234178817688655,0.96
human,human_040,0.466283016204834,0.4649582257866859,4.278593750000001,0.29205210149225264,0.42369402278948254,-0.12169122816367081,5,0.19801829870602142,1.0
human,human_042,0.47780291616916654,0.4501973060766856,4.8920703125000005,0.694171529336819,0.31961322845387585,0.33738390882182817,5,0.4503895555375077,0.9583333333333334
human,human_043,0.4747037637233734,0.4151506572961807,6.03171875,0.6338864434826693,-0.8338299738073154,1.8084307888851743,5,0.5361624195201761,0.92
human,human_046,0.46177825927734373,0.4186637437343597,4.035,0.16568920822084315,-0.26609630515297616,-0.4111541923482765,5,-0.1705204297601365,1.0
human,human_047,0.45650903940200804,0.4294769144058227,4.54484375,0.0033695503781808523,-0.0930468955517482,0.12904263136038208,5,0.013121762062271577,1.0
human,human_048,0.49226854026317596,0.4406868815422058,4.73669921875,1.2614219141574299,0.03911191871392565,0.6713545878175375,5,0.657296140229631,1.0
human,human_049,0.463322206735611,0.4426444709300995,4.2851953125,0.3054244996722285,0.1322123002351457,-0.24494005814168962,5,0.0642322472552282,1.0
human,human_050,0.4677776765823364,0.4676161989569664,4.739531250000001,0.4235470725573208,0.25040585692896644,0.17262153078559075,5,0.28219148675729266,1.0
human,human_052,0.46447405338287356,0.43110907793045045,4.19171875,0.30686789477925397,-0.10966157370268821,-0.04560173122666149,5,0.05053486328330142,1.0
human,human_053,0.47291479349136356,0.45595360100269317,4.584375,0.7739187067237785,-0.006609698737149516,0.005041896330145556,5,0.25745030143892483,0.92
human,human_055,0.46439091086387635,0.41980058431625367,5.104609375,0.1886385492126099,-0.3642368159148104,0.8983370566428037,5,0.24091292998020108,0.96
human,human_056,0.4606351220607758,0.42835339426994323,5.949140625,0.2043661183257442,-0.2621227194692227,1.7882076059544718,5,0.5768170016036644,1.0
human,human_057,0.46502117276191707,0.4489175307750702,5.36625,0.310425698853383,0.21488445619243465,1.0770822356789036,5,0.5341307969082404,1.0
human,human_058,0.4741389060020447,0.43730846405029294,4.985234375,0.6020149159476469,0.02721160229121542,0.8398606952133362,5,0.48969573781739956,0.92
human,human_059,0.46152314782142645,0.414857782125473,4.483046875,0.2869607889558972,-0.459540540227093,0.22348958154818024,5,0.016969943425661483,0.96
human,human_061,0.4876893424987793,0.4417162847518921,4.692656250000001,1.134338515892176,0.0026334466462887953,0.3161387738400597,5,0.4843702454595081,0.96
human,human_062,0.46346052885055544,0.4752977061271667,4.414921875,0.30263522137946053,0.8212751956413236,0.03782300230814238,5,0.3872444731096421,1.0
human,human_063,0.44725797057151795,0.3844926804304123,5.195,-0.33367386967939,-1.4700756945853144,0.6360535162358482,5,-0.38923201600961876,1.0
human,human_065,0.4931969785690308,0.4218312740325928,4.553828125,1.1999372987147026,-0.30173651314748073,0.25796917429059774,5,0.3853899866192732,0.92
human,human_066,0.4609129893779754,0.4238160542647044,4.758515624999999,0.24482123032933562,-0.4829403195556809,0.27897061600693007,5,0.013617175593528263,0.96
human,human_067,0.45938658237457275,0.4525878357887268,4.4084375,0.15306643695255012,0.31841486801523444,-0.2618881149876938,5,0.06986439666003025,0.96
human,human_068,0.47225962758064266,0.4113195788860321,4.160234375,0.5409444787288329,-0.5163167771248512,-0.3001448628795761,5,-0.09183905375853148,1.0
human,human_069,0.45710299611091615,0.4315462362766266,4.163359375000001,-0.009635356082373248,-0.006191443175502842,-0.17156379993917356,5,-0.06246353306568322,1.0
human,human_070,0.4566218602657318,0.43844146331151324,5.0053125000000005,-0.0816602855683432,0.07109102840120522,0.581879736818839,5,0.190436826550567,0.96
human,human_071,0.44432329893112177,0.4111564846833547,4.43640625,-0.3120535040816658,-0.4021936350366344,-0.025552106378298477,5,-0.24659974849886626,1.0
human,human_072,0.46648866415023804,0.4632531380653381,4.330234375,0.4106898962104838,0.51166587367372,-0.05775642045864073,5,0.28819978314185435,1.0
human,human_073,0.44022987484931947,0.4288944411277771,5.01875,-0.5068613702854206,-0.14563338363085448,0.697660192569294,5,0.015055146217672974,1.0
human,human_074,0.4605775725841522,0.44149273037910464,4.415625,0.09144194324195738,0.06339550805945834,0.17020959041807923,5,0.10834901390649831,0.96
human,human_075,0.45828259468078614,0.4097942209243774,5.178046875000001,0.08278528107887714,-0.5964376920691313,0.8596381232370313,5,0.1153285707489257,1.0
human,human_076,0.46615253567695625,0.4159917873144149,5.051640625,0.3853506759796437,-0.36902471804051773,0.8359796970314216,5,0.2841018849901825,1.0
human,human_077,0.4783061826229096,0.39300284624099735,5.098828125,0.7630932507471067,-1.054878176105926,0.7090211316669603,5,0.13907873543604699,1.0
human,human_078,0.47166093349456784,0.4126420497894287,3.726171875,0.4743702990255885,-0.4749606391715919,-0.6627478464208939,5,-0.2211127288556324,1.0
human,human_079,0.4689704656600952,0.409521107673645,4.546562499999999,0.41335438266224944,-0.43008162298744895,0.13911503460838082,5,0.040795931427727104,1.0
human,human_080,0.4337305426597595,0.41103130996227266,4.7533593750000005,-0.7658475874350092,-0.5576692507959391,0.3822963386634038,5,-0.31374016652251485,1.0
human,human_081,0.426417509317398,0.4171706289052963,4.587734375,-1.0329944946362752,-0.46696716772956604,0.15956764350348845,5,-0.44679800628745087,1.0
human,human_083,0.4752111476659774,0.3951940983533859,5.6098828124999995,0.6076455452259351,-0.9280677732014718,1.1156257515644774,5,0.26506784119631355,0.9583333333333334
human,human_084,0.4439739239215851,0.4372914636135102,4.832421875,-0.4019611149145767,0.055321561537848375,0.21224241882201253,5,-0.04479904485157193,1.0
human,human_085,0.458313547372818,0.4060108536481858,4.4092578125,0.13839129575010448,-0.4846823384795772,-0.02129126483495831,5,-0.12252743585481035,1.0
human,human_086,0.45638029932975765,0.4671431612968445,4.003046875,0.006773604880260487,0.5119638210472556,-0.43467395647061596,5,0.02802115648563336,1.0
human,human_087,0.45420212149620054,0.45862925171852115,3.934375,-0.08637721042204713,0.4747121781824718,-0.39492114746006113,5,-0.0021953932332121617,0.92
human,human_088,0.44312170267105105,0.38373656034469605,4.477734375,-0.3212603227120088,-1.2729021663230091,0.23727069888370025,5,-0.4522972633837725,0.96
human,human_090,0.46637965619564054,0.4128263914585114,4.3481250000000005,0.3009717356430636,-0.6320969103757024,0.04023923009123033,5,-0.09696198154713614,1.0
human,human_092,0.4659561216831207,0.3866571545600891,4.5825000000000005,0.25960384508635126,-0.8568156761734574,0.3202267762562183,5,-0.09232835161029596,1.0
human,human_093,0.4774316105246544,0.4130326330661774,5.527265625,0.7019143721410057,-0.5667050010031488,1.1825411073723502,5,0.4392501595034024,0.9583333333333334
human,human_094,0.4541742670536042,0.4313878130912781,4.97734375,-0.010071632289182375,0.013611280732176967,0.7183283735205362,5,0.24062267398784362,1.0
human,human_095,0.46962386012077334,0.43190746784210204,4.423203125,0.4189395484613191,-0.11779366723782414,0.016170977834957155,5,0.10577228635281737,0.92
human,human_096,0.43652977645397184,0.41895510435104366,4.80953125,-0.6609784276629144,-0.5138575103399449,0.5414589952599286,5,-0.21112564758097688,1.0
human,human_097,0.4466317415237427,0.39008925914764403,4.509453125,-0.25134186651956403,-1.0721872482189019,0.08324880247041312,5,-0.4134267707560176,0.96
human,human_098,0.48995473504066467,0.42072592735290526,4.330703125,1.118878990038809,-0.23786953665668617,-0.0936180628685469,5,0.26246379683785864,0.92
human,human_099,0.4481750547885895,0.4106981545686722,5.247109375,-0.2641658288698362,-1.0984825251557115,0.6840037651444485,5,-0.2262148629603664,0.96
human,human_100,0.4403539097309112,0.4524847900867462,4.140859375,-0.45578701043915715,0.28677469404497336,-0.3499052266037214,5,-0.17297251433263505,0.96
human,human_101,0.45162285566329957,0.45960412502288817,4.266484375,-0.02394976781788507,0.4186340552685287,-0.04294838958061027,5,0.11724529929001114,1.0
human,human_103,0.47492349505424497,0.3941115947564443,5.159453125000001,0.5589628090874486,-0.837317497814191,1.013626807192003,5,0.24509070615508685,0.96
human,human_104,0.4819118010997772,0.44807384490966795,4.732734375,1.2454876444365275,0.12466884868463671,0.20304993050794096,5,0.5244021412097017,0.96
human,human_106,0.4816755199432373,0.4460665643215179,4.28734375,0.831196351540506,0.2333147430339194,0.035141822366642,5,0.3665509723136891,1.0
human,human_107,0.46375612616539,0.4216386675834656,5.293828125,0.18695355447586676,-0.6591018557514278,0.8438550308972566,5,0.12390224320723185,0.92
human,human_108,0.47683596014976504,0.38538770556449886,4.9709375,0.6606881374985536,-0.9436308127611379,0.6474855493484227,5,0.12151429136194614,1.0
human,human_109,0.48101255774497986,0.401510181427002,4.535078125,0.9289221456160768,-0.8478144652079574,0.18527052716823372,5,0.08879273585878435,1.0
human,human_110,0.4579885578155517,0.4479518365859986,3.907265625,0.13919421551817673,0.29398517106230315,-0.4976203117400816,5,-0.021480308386533902,1.0
human,human_111,0.46280165791511535,0.3904755562543869,5.05703125,0.23066237074320456,-0.9464712774929043,0.7613095883680789,5,0.015166893872793056,1.0
human,human_112,0.4617100703716278,0.41151042819023137,4.695546875,0.17206535255763214,-0.5232253348436245,0.4633944151083503,5,0.037411477607452615,1.0
