model,analobench,arastories,arena_hard_creative,arn,brainteaser,c3_crosstalk,chinese_homophonic_puns,conceptual_design,cpers,creatset,crowd_vote,cue_word_story,data_narrative,eqbench_creative_writing_v3,fann_or_flop,fig_qa,future_ideas,futuregen,grapheval_ai_researcher,grapheval_iclr,grapheval_review_advisor,historical_analogy,humor_transfer,hypobench,hypogen,irfl,lcc_metaphor,liveideabench,meta4xnli,metaphor_generation,metaphoric_analogies,moh_x,mops,munch,newyorker_humor,nyt_connections,ocw,ocw_connections,outline_to_story,permpst,poetmt,pollux_creativity,pron_vs_prompt,proparalogy,pun_eval,puntuguese,riddlesense,rpgbench,scar,schnovel,science_analogies,scimon,sdat,showerthoughts,simile_generation,slang_generation,speak_to_structure,ss_gen,story_generation_rocstories,story_quality,thenextchapter,tinyfabulist,tinystories,ttcw,twistlist,unfun_corpus,writingbench
ai21/jamba-large-1.7,0.4791157400660885,0.4797333662184014,-0.7986464869767274,-0.1957390627980948,0.0912766652631176,1.0741581129719069,0.0306102783957188,-0.0973472825371866,-0.1889829772201095,0.6949939537494714,-0.6967239342761459,-0.4576925825457973,-0.096584967850512,0.0880026526345973,-0.1626500397282484,2.4403472659063783,-0.2181750350627286,0.6046642460430073,-0.1806305199982286,-0.1341170839160292,-0.4226098896117308,-0.6812598900447862,-1.140366331893727,0.3499657042604565,-0.8905131075775544,,0.2283838651977821,-0.2472532942800026,0.6772778525705534,1.0471486686830394,-0.9178804904239646,-2.106133464066765,-1.5250255635083865,-1.8705817045893545,0.4201282550697621,1.347347987126101,-0.8358289891714505,0.861322597696011,1.015978018988341,-0.0822982815918506,0.0134217410646874,-0.4550754913681976,-0.5265329607801684,-0.1376198050636118,0.4901220525163484,0.0093969909880515,0.2942062792350171,-0.1576795313327305,0.0405799460714403,-0.8758739019835262,0.8874739423627458,0.1284105253308765,-2.755284511579332,-0.1383668069221744,-0.4367076054494946,0.2205734888555062,-0.2704277675485785,0.6589489126624832,2.317905037096318,-0.8425111823307727,-0.5216089447475226,0.2428762983855978,-0.3240491111724793,0.0123216883288685,1.431387430160992,0.065743174099436,-0.4231995679438505
allenai/olmo-3.1-32b-instruct,0.4791157400660885,-0.9811831670337297,-0.7448349955112915,-0.0452399404704266,-0.5857908843850371,0.3768309480457441,-0.6957773779026095,0.1162036323576003,0.0879387840925374,0.2778535716528161,-0.0389178894372576,0.4133862726317284,-0.3436909393796081,0.2894463250611893,-1.1062836362191273,-0.569932482483443,0.3890935851673973,0.666724779687848,0.309552105734263,-0.2152078988572525,-0.0682813788839729,0.6994190315777716,0.8840123117064044,0.3642212237745362,-0.8248752364625542,,0.6995156613113194,-0.3195760911955706,0.6325442974070573,-0.9307953012505124,0.8299401413646955,0.563920633846406,-0.2435098762660305,0.1100995565241268,-0.1409257480547574,-0.7847130756044183,-0.9948939707833324,0.1215918829202152,0.2871984604327734,0.7273206758387826,-1.1827217180846186,0.0841015628823313,0.1539958529610859,0.8670180812138436,-0.4537527569688253,0.0093969909880515,-0.1445695053031664,0.0737223159392531,0.0457959160055713,0.5515031974852429,0.2378759664196497,0.2762522033075063,0.4574984159973603,-0.2473549403996679,-0.2021368569558974,-0.1964951522451757,-1.5704264404566977,0.3256992848348354,3.2894194301906663,1.1072040060627637,-0.6780334755884094,0.1304998040105357,-0.31524517381287,-0.6972491948206537,0.3442295886358408,0.2379381104244597,0.2225798931312332
amazon/nova-2-lite-v1,0.0181371471968507,-0.5624350420898029,-0.3253274561391725,0.406257426512578,-0.2596324905503742,-1.25989847515508,-0.5065683005566921,0.2037644266058896,0.3467674206799579,0.3619060419327387,-0.5750393232154191,0.3632447406504409,0.0279848754641939,-0.3943908942368232,-0.3850741750805583,-0.569932482483443,0.5189576645440132,0.1766507786092397,1.1125295504687582,0.2303901491578056,-0.3220678625223792,-0.183201339096585,0.8840123117064044,0.4166664876622484,-0.5604336961518103,-0.9079849717041572,-1.3128789105264866,-0.4233371835292995,0.1098731917553837,0.1270584988267641,-0.961297464663464,-2.106133464066765,1.0491382997793195,-1.350008195563892,0.0995259675700366,-0.7522864185579252,0.3127096494259822,-1.773834465635362,-0.7084495890410262,-0.3658078909665775,-0.5841911336580689,-0.0842965956128714,-0.0786733830403942,0.5400899972564451,-0.4824296979945405,-1.2831988007710389,0.1569855995453831,-0.3517263424106844,-1.1367441894268877,0.1259554748731002,-0.6868445172694392,-1.328107423725054,0.1246279614006757,-0.5698243091560189,-0.337575166674843,0.4277579560959679,-0.057994072693898,-0.1336393589411121,-0.7339976655588675,-1.061170829627244,0.4609897437420216,-0.410798679714256,0.7239280805918604,-0.5346342659948147,-1.6127120295433952,-0.5661912959596253,0.2310484584522985
amazon/nova-lite-v1,0.1333817954141603,-0.5162495251052605,-1.2146966304700244,-0.6472364297810989,-0.9913427089357996,0.7581042367299269,0.0539881685315847,-1.1710329925846168,-0.1210147091721018,0.9630534348483728,-1.607715950586015,-0.4153694909675745,-0.3717607362233223,-1.0127820485514007,-0.1614335412083125,-0.569932482483443,-1.1180092001370427,1.3507188819819351,-0.0023288750539108,0.0633481166121523,-0.0309818509595456,-0.183201339096585,-1.6630062957102445,0.3163152251032414,-0.9441603282841012,0.2232295217779697,-1.6941649370227598,-0.9752536692261918,0.6974723135901382,-0.0588608191040929,-0.4790914421029165,0.4367752006124458,-1.0452902327530844,0.1893268069686661,0.046092252986749,1.342029515568088,1.6275305144165195,0.8723179500977013,-0.2289429107726906,-1.3875641928235942,-0.7790918498825036,-0.2870899087226207,-1.0417926864481997,0.7756584171063177,0.3369363234187937,1.4802709107915766,0.5088182664749094,-1.0419305197680926,0.1325048552609496,-1.417831619267553,0.428763788982041,-0.3573343392604471,-0.2472077646068487,-1.0981310336412338,0.2210281937367968,-0.068315025004696,-0.1654056318735199,-0.8210533423494292,-0.3359845839529314,-1.061170829627244,-0.7956938687163165,-1.1376003503498884,-0.7790414058215199,-0.8938589668829269,0.1926401309390284,-0.019387082984148,-0.8006437612967024
amazon/nova-micro-v1,0.1333817954141603,-0.4663129418026779,-1.2161170913223882,0.1052591818572416,-0.9677391089064092,0.1328799411806449,-0.1678451363719259,-0.3979540254160674,-0.2379010118376996,1.3913799262874786,-1.1446015041331434,-0.7339093486948451,-0.6629080536566484,-0.8978346293675423,-1.0336793454932942,-0.569932482483443,-0.4948680035749592,0.8750746375193998,-0.2324601770194911,-0.6706500218256293,-0.8831534793718642,-0.183201339096585,-1.5710335723290294,0.0867796518678252,-1.4389351019830805,,-1.77734957131848,-1.702684917819145,-1.642646319177084,0.7821490549273517,-0.890241759308936,0.3096297673784852,-0.9371718999870297,-0.2068094452540301,0.0193753956951052,-0.7316913024530903,0.0168643144389034,-0.4566462620128441,-0.5030449668717245,-0.3455494249721016,-1.1916315851945585,-0.4175592677407231,-0.962301170647496,0.3636441550420305,0.5514021790476301,-2.041456638344016,0.0030321667777039,-1.146721238453519,-0.9186662794848044,-1.567450000468161,-0.4215691875343005,0.6010511948008713,0.3412294678839641,-1.5379533761962985,0.0592385992412565,0.3569010298597529,-0.4522454199580756,-0.7757513205095422,-0.7302720374799392,-1.061170829627244,-0.4111799764555536,-1.2689112831299896,-0.1730758843351495,-1.210210305907904,-0.63523715263073,0.1030786880150505,-0.7914333451207417
amazon/nova-pro-v1,0.3638710918487786,-0.2345640284983469,-0.9656604084139916,0.1052591818572416,-0.169012657667597,0.0993965491170026,-0.2593589851070825,-1.5972006654972328,0.2364201955097485,1.1263900970674368,-1.841560136480044,-0.771878189139426,-0.0001064791395364,-0.854547168887436,0.2311125000595622,-0.569932482483443,-0.9572995586148858,1.181774446990034,0.6703024394472644,-0.8066445197601948,-0.5670215435216573,-0.0066772649617139,-1.1919493553242797,0.2585264295620676,-1.2895400047663883,0.0500558272830142,-0.7766598152863239,-1.1179831289688265,0.6843552098959885,-0.6681413817308162,-0.8473912289936247,-2.106133464066765,-1.2075380865093166,0.5854630591913623,-0.0073414615965385,0.5534184696646541,-0.2412846740903574,0.6921045493835475,0.3163354653394083,0.04572530343646,-0.559678435771239,-0.462105363382103,-1.1406575890330133,0.6160242220834863,0.1550548909655295,-0.2099623883437782,0.6317924533215454,-1.33064383590227,0.3278852708683899,0.6730634440270804,0.5185134955948888,0.0458833094601705,-0.5396277857181065,-0.7890664071664284,0.4760455932012077,-0.4509380281063018,0.3370337051561284,-0.6116427158417026,-0.6457384750226426,-1.061170829627244,-0.2157724236903045,-0.866541479516082,-0.3743993291707926,-0.4917609041316797,-0.8626890624100583,0.2287879157256322,-0.7273854412977938
anthropic/claude-3.7-sonnet,0.824849684718017,0.9239800889164024,0.2134175388399879,0.406257426512578,0.8701864142881527,1.827576268980094,0.6309863396867953,0.4471150029040271,1.167797404883992,0.4563715334280832,0.349283467418284,0.290762920255079,0.9021854591338732,0.4002494403530418,1.1261851320798943,-0.569932482483443,-0.0358436923619725,-1.3724195947721112,-0.6574897358805862,0.0867285316095507,-0.3029562246560323,-0.3824247594758655,0.3131941892148304,0.1953981955053826,0.8279442308715589,0.3317069410029681,0.0681696268773529,0.3834617115012224,0.6145920230167606,-0.2071478298527314,-0.7491474438691288,0.8182115003143274,0.1963843766435908,0.3477813078577447,0.8475979717360629,1.778808652083327,-0.4841396809435509,-0.7832150157662052,-0.01491591362519,-0.0972935176401377,0.5238776195190139,0.8625557626687811,0.6894273788572223,0.6171069026200509,0.3272846730783023,-0.1918085944894423,1.2446416749274734,0.9862091973417716,0.4891293960661926,-1.205250455588924,-0.9193759756359564,1.0747342462834455,0.5758357995684562,0.9175317225249656,0.0332853252155622,0.734020566387676,0.7856240556192758,0.5175277598124983,0.0951995304841415,-1.061170829627244,-0.2276367841887477,0.5228223618396753,0.2480632888151863,0.064073568818705,-0.6474144089824853,0.324483916022634,0.5663818918636137
anthropic/claude-haiku-4.5,0.4791157400660885,0.4403432900868315,0.1176204625793993,0.7072556711679135,0.4211118976111146,0.5876162298383295,1.0984888111959423,0.0602400755892111,-0.1414939211725847,-0.178345550246615,0.7259968215237987,0.1420114065562767,0.5849050920168872,0.6013612728644918,0.1723052764883509,-0.569932482483443,0.333303630093025,-1.3753700661805277,1.0580815191761526,0.6376843106220379,0.8784930131226958,-0.183201339096585,0.8840123117064044,0.2947954229797275,0.0009248573520433,-0.9079849717041572,0.5498476534077545,0.0547520515552777,0.5011357109748178,0.4475371058205356,-0.5649439438072721,0.7546387836973472,-0.2740793512969516,0.5062358087468231,0.2331102540282555,-0.2711936740750694,1.421071906188285,0.5611206498518126,-0.5345393714578237,0.9088422197254676,0.7134020055003955,0.6681705910097125,0.9104668988685082,0.3716927477653635,0.4505362874056619,0.5789156413215468,-0.534690122659291,0.4275217369761962,0.2415654479902615,-1.5176407559366716,-1.3994613773060889,-1.7474754390424423,0.3554449460246381,0.9013787535749146,0.8081930045151099,0.3571996507146538,0.4951368006549808,-0.2904195379939326,0.5753643171374224,0.341895240525114,-0.4316786757863578,0.2623555065757192,-0.387350777071262,1.2437322011923433,-0.2199124318178283,0.3451092749306897,0.8664220145357339
anthropic/claude-opus-4.5,0.824849684718017,0.9366549454226244,0.9742565973520908,-0.346238185125763,0.900286031215036,1.348494981468959,1.203302562891874,0.165605816374962,0.3021521674663593,-0.7650343005798224,1.1967351072819084,0.6286921515196023,1.1713456191310678,0.9042387616290252,-0.2854733915150568,0.8430559708423917,0.7915900403826874,-1.367626404019881,0.3061318518182245,0.6749922167679399,1.2328195591886553,-0.6724455648327818,-1.327716643411653,0.3958859591410408,0.9309414459925458,0.5376654974876144,1.25996371769624,1.0714502227781633,0.8732051662328539,2.395894792848756,-0.1701870025516115,0.8182115003143274,0.7693747444383058,0.9815993114140584,0.9544654009026382,0.7716913674535333,1.4798014044453622,0.4125132676507819,0.1768115377168504,1.182517707204591,1.3200874053571856,0.6709133214321594,0.8510042468181461,0.4475848257235091,0.894884167782899,0.2045412740347139,0.7035093711815777,0.9094708165871128,1.1211458282978168,-1.567450000468161,-1.190272528945578,1.094976143141419,0.6233299774918233,0.8332032345016931,0.2143908352885065,1.2433732217071616,1.5088295776602825,0.5972724953992409,0.3235344503654522,0.5787765250962912,0.046672165216342,0.6446266548169481,-0.5311623791317915,1.3294789249186136,0.5976230896967455,0.0965054257329834,1.1323711515384671
anthropic/claude-opus-4.6,0.9400943329353258,1.040116860648644,1.0547384312645398,0.7072556711679135,0.9677954403845536,0.998853718563339,0.8975000403390189,0.8211872784107479,1.0870070219828991,-1.147612399490481,1.0947054345185374,0.837492324811499,1.240023609050191,1.391636753711535,0.5851532985825709,1.9488730212713052,1.451620711729477,-1.387648454487047,-0.2292398977512071,0.8280641288345154,1.4713448422498734,-1.147804769536574,0.7920395883251895,0.2312604501417716,-0.1843135564507159,,1.25996371769624,1.508948262381314,0.8732051662328539,2.1065375916805973,0.6118154689723474,0.8182115003143274,1.0237087749816391,0.8631889266038617,1.0078991154859258,0.2304433206705445,1.234537517242129,-1.4503035581011796,-0.3347873045215787,1.9373698118366744,1.5539589353405578,0.8965613743359278,1.0429104487168923,0.4459178636941342,-1.5005624494098422,0.2045412740347139,0.0854522782731805,,0.7538300449752647,-0.4261462448182612,-0.913460756140512,0.1711468398436568,0.6833639044706967,1.0955893430154702,0.824100085220461,1.132712515066142,1.0540227475787105,1.121042815821769,-1.2907806968083595,-5.021481845105735,0.2239142314749165,0.8265050592883677,0.6388625223029109,2.269654423366843,2.597514607620419,-0.1967542496403054,1.3767271151646956
