entity_type,entity_id,AUT,Design,Metaphor,SCTT,Story
human,human_001,-0.8025452541740359,-0.03264174404974729,0.08255604399977272,-0.5410552951761289,-0.3708603600313785
human,human_002,0.006625830162940938,0.11347931255362169,-0.4855271441705921,0.905304299611629,-0.848042352098563
human,human_003,,,-0.2895618420466694,,0.08342840894709247
human,human_004,,,-0.5459211131471884,,-0.11212424608181498
human,human_005,-0.6153366650669855,-0.5919959952768638,-0.447189083016045,-0.1331510645361775,0.3167292752370812
human,human_006,0.17681697960884235,-0.11467937536572159,-0.4499531363393312,0.753606545048274,0.06580509103630348
human,human_007,-1.5624004377106921,-0.7665296695487421,-0.2960443441872555,-0.6190566134777588,-0.9550424957702724
human,human_008,-0.13332529193417553,0.022363518781054543,0.7433667176476578,0.8657105384803829,1.6101044531505952
human,human_009,-0.04466069634898786,-0.2830807506175384,0.13766624373770023,-0.8602184783047403,-0.738376206792004
human,human_010,0.18979184532170026,0.038159113152911726,0.434064419647391,0.05737202401750082,0.14730561382467555
human,human_011,,,-0.3862261049436366,,-0.4331578847892053
human,human_012,-0.5107292823254833,-0.7055827954237747,-0.42925978373484713,-0.8414370320069665,0.14999327241057747
human,human_013,,,0.3139745920113228,,0.710469519412317
human,human_014,,,-0.24997584270570547,,0.26462389542312487
human,human_015,-0.6951546574667122,-0.281526631645087,-0.10970744907338552,-0.3118734016688063,-0.06338502463366537
human,human_016,1.0545241021802327,0.8779982215509845,0.38259391427044037,-0.09856782939228848,0.6594525981875293
human,human_017,-0.04010548386947222,0.0778238430522702,1.813195187001705,0.11521283081821783,0.12339325804291107
human,human_018,0.264734991923376,-0.33849263329320745,0.031812842685791244,,0.20765779610043947
human,human_019,-0.19296334550066563,0.13681288112389103,0.1347219148270341,-1.3298534165431575,-1.37545968657546
human,human_020,0.27492102413002356,-0.011027326002776375,-0.6652372544653432,,-0.21976383868556248
human,human_021,-0.15081526411739954,-0.19873359792955306,0.010004573196999841,-0.027704922003301435,0.4266090491585166
human,human_022,-0.8501172425392677,-0.6578135445669034,-0.158046273858769,-0.4464838537429026,-0.30990880432021267
human,human_023,0.3501277499636346,0.1709709304992507,0.46729897838347517,0.18042006345410608,-0.6068929435959259
