entity_type,entity_id,novelty,diversity,z_novelty,z_diversity,composite,n_tasks,valid_rate,is_release_entity
human,human_001,0.7885525861561775,0.4024746410838951,0.24499585781228742,-0.029755250693083553,0.10257814139818495,5,1.0,True
human,human_002,0.7850402670326345,0.44372411602673556,0.07164397359964805,0.3190599395644801,0.1953519565820641,5,0.96,True
human,human_005,0.7745645400162035,0.42147410578007194,-0.18810345939332507,0.16548565722615122,-0.011308901083586901,5,1.0,True
human,human_006,0.779698438455843,0.40213359417748706,-0.0863527279530838,0.0010367490834026715,-0.042657989434840574,5,1.0,True
human,human_007,0.7528425153625845,0.36118597754626247,-0.8806798488489254,-0.4080969652479126,-0.6411094813035979,5,1.0,True
human,human_008,0.792363115596507,0.4610881910890759,0.46073083981329255,0.4529111394179234,0.45682098961560785,5,0.96,True
human,human_009,0.7699722060817212,0.38966512893650895,-0.30978271026610915,-0.14438877827120328,-0.22708574426865624,5,1.0,True
human,human_010,0.7845617734891839,0.43150363222707816,0.23003769802914392,0.22305680229831554,0.22654725016372973,5,1.0,True
human,human_012,0.7699575022596417,0.3766060086335811,-0.38677924204546443,-0.1889262256267664,-0.2878527338361154,5,1.0,True
human,human_015,0.7847139791404516,0.40935989413306745,0.1536940392890665,0.08492824653828494,0.11931114291367573,5,1.0,True
human,human_016,0.765956587896683,0.40693039169927614,-0.2530845923853627,0.041846341834384626,-0.23157286567095053,5,1.0,True
human,human_017,0.7831048357511354,0.42787194923820465,0.07188357997436276,0.17823249426886675,0.12505803712161473,5,1.0,True
human,human_019,0.7697000505880291,0.36963211310152727,-0.33038741339216743,-0.31369172153800307,-0.3220395674650852,5,0.96,True
human,human_021,0.7870140161664293,0.4533702095323234,0.2562428353114151,0.3891423619518261,0.32269259863162064,5,1.0,True
human,human_022,0.7908729366583134,0.3568432444039878,0.4485950782329162,-0.38079200860243206,0.03390153481524207,5,1.0,True
human,human_023,0.7612695400554507,0.40420371524347987,-0.5266315704370278,-0.11554544665798464,-0.32108850854750626,5,0.96,True
human,human_024,0.7936402247378658,0.4549336646834581,0.452781251949927,0.4282136490801972,0.4404974505150621,5,1.0,True
human,human_025,0.7652303536827817,0.4292705015876353,-0.3762130996088004,0.1524412711959672,-0.11188591420641662,5,1.0,True
human,human_027,0.7667963071751008,0.3891297082094504,-0.34342807518745166,-0.14913349438251605,-0.24628078478498386,5,1.0,True
human,human_028,0.7785745448486389,0.42999825254780205,0.014674546201976058,0.2400084424061022,0.12734149430403913,5,1.0,True
human,human_031,0.7871688589625702,0.39685105927886105,0.23277231458281586,-0.042745115100514416,0.09501359974115073,5,0.96,True
human,human_032,0.7785405907455261,0.4066344387074896,-0.017183452175296564,0.0030255900712555573,-0.007078931052020491,5,1.0,True
human,human_033,0.7574674775235614,0.39585994907958755,-0.7266506890284146,-0.06785843849990343,-0.397254563764159,5,1.0,True
human,human_037,0.7819333955676955,0.4216672302655694,-0.032538261492158216,0.12939046659381415,0.027674597998607463,5,1.0,True
human,human_038,0.7646563900808604,0.4229972355093789,-0.4239918348492019,0.04629242431921583,-0.2063699627780345,5,1.0,True
human,human_039,0.7875922776803443,0.40525439915734257,0.1239528486073894,0.020685990634330232,0.07231941962085982,5,0.96,True
human,human_040,0.7860321585641272,0.4023710379780354,0.2103539525143534,0.04703729418901377,0.1286956233516836,5,1.0,True
human,human_042,0.7928529836431235,0.44593567335073264,0.4711571564437252,0.33962929228644423,0.4053932243650847,5,0.9583333333333334,True
human,human_046,0.7729922762336707,0.4125359263136965,-0.1916924236535389,0.03989128939313778,-0.07590056713020056,5,1.0,True
human,human_047,0.7667588733506643,0.3966701396715808,-0.29510717838887196,-0.05659149014565257,-0.17584933426726224,5,1.0,True
human,human_048,0.7978749954570401,0.4832294187933224,0.6202414121695023,0.6741172058502082,0.6471793090098552,5,1.0,True
human,human_049,0.7871113045148389,0.4415236691887468,0.2100977724210485,0.31228316775124665,0.26119047008614754,5,1.0,True
